CASRN,SMILES
50594-66-6,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O
309-00-2,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
61-82-5,NC1=NNC=N1
101-05-3,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
140-57-8,CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl
1912-24-9,CCNC1=NC(NC(C)C)=NC(Cl)=N1
82657-04-3,CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1
92-52-4,C1=CC=C(C=C1)C1=CC=CC=C1
108-60-1,CC(CCl)OC(C)CCl
88-85-7,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
2425-06-1,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
133-06-2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
63-25-2,CNC(=O)OC1=C2C=CC=CC2=CC=C1
1563-66-2,CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
302-17-0,OC(O)C(Cl)(Cl)Cl
133-90-4,NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O
118-75-2,ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O
57-74-9,ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
510-15-6,CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
80-33-1,ClC1=CC=C(OS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1
150-68-5,CN(C)C(=O)NC1=CC=C(Cl)C=C1
76-06-2,[O-][N+](=O)C(Cl)(Cl)Cl
1897-45-6,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl
10380-28-6,O([Cu]OC1=C2N=CC=CC2=CC=C1)C1=CC=CC2=CC=CN=C12
56-72-4,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2
1596-84-5,CN(C)NC(=O)CCC(O)=O
50-29-3,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
52918-63-5,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C
23950-58-5,CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C
2164-09-2,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
117-80-6,ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
99-30-9,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O
120-36-5,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O
330-54-1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
62-73-7,COP(=O)(OC)OC=C(Cl)Cl
115-32-2,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
60-57-1,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
2921-88-2,CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl
60-51-5,CNC(=O)CSP(=S)(OC)OC
78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
2439-10-3,CC(O)=O.CCCCCCCCCCCCNC(N)=N
115-29-7,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl
72-20-8,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@H]4C[C@H]([C@@H]5O[C@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
91-53-2,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
142-59-6,[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S
55-38-9,COP(=S)(OC)OC1=CC(C)=C(SC)C=C1
51630-58-1,CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1
14484-64-1,[Fe+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S
